,list
531,104.1
532,53.4
533,549.8
534,704.0
535,351.8
536,110.9
537,253.8
538,259.5
539,18.0
540,1.8
541,5.4
542,108.4
543,139.8
544,83.0
545,919.0
546,671.7
547,695.6
548,199.4
549,266.1
550,273.0
551,202.3
552,22.2
553,27.3
554,98.0
555,142.2
556,85.7
557,556.1
558,669.3
559,739.6
560,394.5
561,183.7
562,32.4
563,47.0
564,43.0
565,8.3
566,48.2
567,125.0
568,212.3
569,910.2
570,619.0
571,487.9
572,166.6
573,183.9
574,215.6
575,19.2
576,0.6
577,1.8
578,4.5
579,98.1
580,440.0
581,536.3
582,758.7
583,445.2
584,354.5
585,229.1
586,71.9
587,1.8
588,0.1
589,53.7
590,31.1
591,68.5
592,242.0
593,638.3
594,905.7
595,387.3
596,411.6
597,250.4
598,149.2
599,8.8
600,6.6
601,6.5
602,41.6
603,175.9
604,148.5
605,774.1
606,544.6
607,190.6
608,313.8
609,250.6
610,229.6
611,23.2
612,5.2
613,48.2
614,20.8
615,112.2
616,214.6
617,576.7
618,430.0
619,413.6
620,57.4
621,339.6
622,49.6
623,66.9
624,13.1
625,22.6
626,18.5
627,132.4
628,55.4
629,340.5
630,1027.6
631,356.4
632,100.5
633,410.5
634,62.2
635,5.1
636,23.5
637,2.8
638,90.6
639,136.9
640,179.5
641,798.3
642,640.5
643,467.0
644,201.6
645,303.1
646,31.6
647,62.5
648,4.2
649,6.3
650,28.2
651,125.9
652,544.2
653,782.4
654,392.8
655,236.0
656,438.5
657,378.2
658,178.1
659,19.8
660,7.9
661,11.7
662,15.1
663,151.6
664,351.3
665,755.4
666,466.8
667,319.5
668,178.4
669,353.3
670,178.2
671,9.1
672,1.2
673,16.0
674,25.7
675,70.2
676,381.2
677,872.0
678,835.3
679,358.8
680,41.3
681,280.1
682,192.5
683,28.9
684,4.4
685,19.3
686,57.3
687,135.1
688,353.5
689,713.3
690,622.7
691,526.6
692,86.1
693,191.0
694,206.1
695,7.7
696,3.0
697,21.4
698,6.3
699,150.7
700,347.2
701,872.8
702,1155.7
703,397.3
704,405.5
705,200.4
706,151.9
707,34.0
708,9.4
709,8.4
710,44.4
711,206.6
712,540.0
713,480.3
714,750.9
715,336.8
716,371.2
717,255.9
718,358.0
719,23.7
720,13.7
721,31.3
722,11.4
723,94.1
724,500.5
725,1005.2
726,1146.5
727,678.3
728,399.3
729,274.2
730,85.9
731,17.5
732,28.4
733,54.7
734,39.6
735,95.1
736,472.4
737,244.9
738,951.1
739,510.7
740,394.9
741,475.6
742,31.5
743,76.9
744,30.2
745,24.8
746,69.8
747,96.3
748,157.1
749,393.3
750,720.2
751,511.0
752,223.9
753,282.6
754,93.4
755,48.4
756,1.1
757,7.8
758,67.2
759,83.3
760,94.8
761,379.4
762,754.2
763,548.0
